,Age,Birthday,Favorite books or authors,Favorite noveling music,Hobbies,Location,Occupation,Primary Role,Sponsorship URL
0,25,,"Fried Green Tomatoes at the Whistle Stop Cafe by Fannie Flagg,Les Miserables by Victor Hugo, Neverwhere by Neil Gaiman, Something Wicked This Way Comes by Ray Bradbury, Goddess of Yesterday by Caroline B. Cooney, Where the Red Fern Grows by Wilson",,"Theatre, a cappella, travelling, comics",Hong Kong,Creative Writing Teacher,Municipal Liaison,
0,46,,"Zelazny, Perec, Apollinaire, Dumas, Gene Wolfe, Jaworski, Egan, Tanith Lee, Greg Stafford, de Botton, Tolkien, Lenoir, Vance,",Silence,"Miniature Wargaming, randonnée, et d'autres choses.",France,Teaching software engineering software how to deal with humans,,
0,,,,,,,,,
0,19,,"Tamora Pierce, P.G. Wodehouse, Cornelia Funke, Sir Arthur Conan Doyle, Andy Weir, Sarah Mlynowski, Terry Pratchett, J. K. Rowling, Charles Dickens, Jane Austen, Louisa May Alcott, John Green, C.S. Lewis, Jeannette Walls, Laura Ingalls Wilder, Stephanie Perkins, David","quiet, classical or K.T. Tunstall","art, knitting, walking in the park",Toronto,,,
0,26,,J.K. Rowling is THE one for me,Anything without lyrics.,"Writing, singing, reading, listening to music, nothing very significant !","France, near Paris",I'm currently working at Disneyland Paris.,,
0,,,"JRR Tolkien, Ian Rankin, Evelyne","From Mozart to Nightwish, from Queen to Britney Spears, anything catchy enough to give me the proper rythm ^^","Movies, music, cooking, walking",Rennes (Vitré),,,
0,23,,,Any OST by Bear McCreary,,France,,,
0,,,"Frank Herbert, Dan Simmons, Hemingway, Jack London, Maxime Chattam, Xavier","Jazz, pop rock",,"Tarbes, France",,,
0,,,"Chuck Palahniuk, Haruki Murakami,",Dave Brubeck,,"Marseille, France","Web designer, board game designer and stuff...",,
0,,May 25,Authors,All,"Writing, Reading, Listening Musics, Go to School, Tchat with my friends",Paris,,,
0,28,,"The Giver (Lois Lowry), The Honor Harrington Series (David Weber), The Deathstalker Series (Simon R. Green),",Video Game Music,"Role playing and video games, drawing, science, correcting spelling mistakes.","Lyon, France",Web developer,,
0,,April 26,"Damasio, Jarowski, Rothfuss, Mouawad, Beckett, Rouaud,",,Je déteste écrire. C'est bien pour ça que je suis là. Non ?,"Paris, France",,,
0,,,,,,,,,
0,,,"Haruki Murakami, Raymond Carver, James",N'importe quoi.,"writing, reading, playing, running","Carcassonne, France",Développeur,,
0,25,May 26,"Neil Gaiman, Harry Potter, the Lord of the Rings, the Hunger",Anything instrumental. Lord of the Rings soundtrack is a special treat.,Crying about fictionnal characters and actors because they won't let me write them properly. Also putting stupid things in my presentation forms on the web because that is how I deal with not knowing what to say there.,"Angst Island, south of Paris, France.",Student,,
0,24,,"Pierre Bottero, Chroniques du monde émergé, Cavalier vert, Rachel Morgan, Meg Corbyn, Psi-changeling, chasseuse de vampire... Wait. I will stop here",My freedom (Thomas Bergersen) _ Human Legacy (Ivan Torrent),"Write, read and dream",Liévin,writting ? or writting perhaps,,
0,,,,,,,,,
0,,August 18,,loreena MacKennit,reading,"France, Ardéche",,,
0,26,,De bons présages - Pratchett &,,,"Rennes, France",Auteure,,
0,,,"A Song of Ice and Fire, Mistborn, Le Comte de Monte-Cristo, Fortune de France, The Masters of Rome, Collen Mc Cullough, Stephen King, Brandon Sanderson, Tom Clancy, Lois McMaster",,"reading, climbing","Paris, France",,,
0,,,"Baudelaire, JKR, Matthias Malzieu, Amélie Nothomb, Sophie Kinsella, Gilles Legardinier et",Plutôt tendance rock mais je peux écouter un peu de tout ; tout dépend de mon humeur du moment,"trainer sur 'ternet, raconter des bêtises plus grosses que moi, lire, écrire, dessiner","entre le Z et le A (et entre -0 et +0, les jours fériés)",,,
0,28,,Read (almost) all the,This should help http://www.last.fm/user/ecarrotsushi,"writing, Nano, reading, languages, overanalysis, procrastination, tea, good food, maths, open technology and culture, online communities, exploring new places, running (or having run), not being eaten, hashtag shenanigans, ...","Atlanta, Georgia, USA",Pretending to be an adult,,
0,,,"Good Omens et Neverwhere de Neil Gaiman, Harry Potter de JK Rowling, H2G2 de Douglas Adams... , Neil Gaiman, Douglas Adams, Agatha Christie, Philip K Dick, Arthur C Clarke, Jane","Doctor Who OSTs, Hans Zimmer, Yuki Kajiura...","TV et Cinema, Musique, Recherches intensives de tout et n'importe quoi",Paris,,,
0,,,"Marcel Pagnol, Stephen King, Marion Zimmer Bradley, Joyce Carol Oates, Laurent Whale, PJ Hérault and many","Hed Kandi compilation, Jazztronik, Pax Japonica Groove, Mossy and so one...",,"Golden Hillside,",,,
0,29,November 28,"Cyrano de Bergerac, The witches of Eastwick, Brave new world, Tchekhov's short",Dr Who's music,Blogging,Paris,Community manager,,
0,,,,,,"Bergen, Norway",,Municipal Liaison,
0,,,,,,Lyon,,,
0,,,"J'aime beaucoup Stephen King, Richard Mattheson, Clive Barker, Sheridan Le Fanu, Poppy Z. Brite, Agatha Christie, Dennis Lehanne, Paul Auster et bien",,"Cinéma (principalement d'horreur), littérature, exploration urbaine (catacombes de Paris, squat, lieux abandonnés), photographie.","France, Paris","Chef opératrice, opératrice de prise de vue, montage et étalonnage.",,
0,51,April 4,"Michael Connelly, F. Scott Fitzgerald, Oscar Wilde, Scott Turnow, John Keats, The Horse",I am more inspired during my walks or looking into the garden. I prefer silence,"running, basket ball, trekking, reading","Thoissey, France",Part time English teacher and Web content Writer,,
0,,,,,,,,,
0,,,,depends on the mood of my character???,"When not writing, reading, hiking, music (name it, I might have it); violin/gayageum; kdramas!","Seoul, South Korea",ex-lawyer turned happy person,Municipal Liaison,
0,28,February 3,Le Puits des Mémoires… Gabriel,"OST de jeux vidéos. ( Zelda, FF...)",,Brest,Écrire,,
0,,April 12,,,,Paris,,,
0,,,,"Julianna Barwick, Tchaikovsky (Nutcracker, Swan Lake), Joanna Newsome, Cocorosie","Music Festival, Watching Series, Drinking a bit too much; cooking",Paris,Financial manager for European scientific,,
0,,,"Cujo, La Reine des Damnés, La vie blues, True Blood series, Stephen King, Anne",BO,Procrastiner,9-3,Etudiante,,
0,23,,,,,,,,
0,,,,,"lire, écrire, ordi",France,,,
0,43,,"Neil Gaiman, Stephen King, John Kennedy Toole, John",Musique de film,Fitness,92,,,
0,,,"Morgane Caussarieu, Jo Nesbo, Viveca Sten, Maupassant, Natsuo Kirino, Miyabe Miyuki, Qiu Xiaolong, Philip",J'aime tous les genres pour écrire.,"Photographie, jdr, le cinéma astiaque, apprendre de nouvelles choses et essayer de les placer dans des textes",Saint Quentin en Yvelines,,,
0,30,January 2,"Robin Hobb, Alain Damasio, Fred Vargas. Antigone de","BO de films, Mogwai.","Jeux de plateau, séries, boire des bières, marcher en diagonale sur le carrelage","Poitiers, France",,,
0,,,,Classical music,,Paris,,,
0,,January 2,,,"Théâtre, dessin/peinture, lire et écrire (logique), cinéma (faire des films et en regarder), photographie.",Paris,,,
0,,April 2,"Middlesex, Jeffrey Eugenides. Sourires de loup, Zadie Smith. Belle du Seigneur, Albert",Plutot le silence. Mais la musique fonctionne pour certaines scènes.,Chant gospel,Paris,,,
0,31,,,,"lire, écrire, ciné, télé, équitation, étudier....",Villeneuve d'Ascq,,,
0,24,March 19,"Anaïs Nin, Stefan Zweig, Paul",,"Writing, swimming, clowning, eating, learning.",Paris,Student,,
0,,,"Loads. Here's an excerpt Neil Gaiman, ""The Goldfinch"" by Donna Tartt, ""Le Parfum"" by Süskind, ""City"" by Simak, ""Starter for Ten"" by Nicholls, ... (more on",,Breathing,,Trying to take over Sunnydale,,
0,,,Preston et Child avec leur série sur l'enquêteur Aloysius,,"Jaime la lecture et l'écriture les séries télé, tout ça autour des univers Fantastique, Thriller/suspens, gothique et steampunk.",Région bordelaise,,,
0,,,,,,,,,
0,32,August 10,,"Queen, Hans Zimmer, Anastacia","Broderie, écriture & lecture",France,Femme au,,
0,,,"Hugo, Shakespeare, Tolkien,",Only Lovers Left Alive BO,"Reading, wandering, biking, learning",Paris,Student,,
0,,,"Terry Goodkind, Paolo Coelho, Eric-Emmanuel Schmidt,",,"writing, acting, singing, painting, camera & lighting stuff, photographying, dancing in the rain...",Paris,Taking acting classes,,
0,,,"H2G2,",Classic,Work,,Reading/Work/sleep,,
0,,,,,,,,,
0,28,December 27,"Harry Potter, Chaos Walking, Landline, Miss Peregrine, The Graveyard Book, The Winner's Trilogy, Night","Muse, Soundtracks","YouTube, Games, Cosplay, Reading","Seattle, Washington",Community Manager / YouTuber,,https://www.classy.org/fundraise?fcid=487347
0,,,"Amélie Nothomb, Frédéic Beigbeder, Anna Gavalda and many","Just sounds, no lyrics.","Writing. Dancing, singing, playing music. Pretty much everything that's related to Arts.","Paris, France","Searching for a job as a lawyer, specialized in IP + childsitter in the meantime",,
0,,,"SF, Werber, Nothomb, Brett Easton Ellis, Chuck Palahniuk . .","Movies OST (Kung Fu Panda, The Fountain), Muse","Yaoi Yuri Con, Video games, books,","Lyon, France",,,
0,,,,,,France,Secrétaire de,,
0,,,"God Stalk, Dark of the Moon, Good Omens, Hitchhiker's Guide to the Galaxy, Terry Pratchett, Robert Jordan, P.C. Hodgell, Neil",Country,"Reading, writing, the Internet. Sometimes I exercise. Sometimes.","Carpentersville, IL","Attorney, Freelance Writer",Municipal Liaison,
0,,,"JRR Tolkien, JK Rowling, CS Lewis, George RR","Film Score, Symphonic Metal","Sports, Music, Gaming","Fort Worth, Texas",,,
0,30,May 23,"Night Embrace, Dark Magic, Sherrilyn Kenyon, Christine Feehan, Lara","J-pop, ParaPara, Instrumental Piano","BJDs, Writing, Sewing","Elgin, Illinois",CNA,,
0,21,December 6,"Octavia Butler, Miyuki Miyabe, Tow Ukabata, Haruki",Literally everything and anything,"Writing, Drawing, Listening to music, reading novels and comic books","Detroit, MI",Hospital Registar/College Student,,
0,41,,"Pillars of the Earth, The Kite Runner, Dune, James Rollins, Frank Herbert, George R.R. Martin, The Book",Holst,"Fly Fishing, Model Kit Building, Movies",Evanston,Computer Nerd,,
0,35,,"Sophie's World, Miau, Forrest Gump, El Capitán Alatriste,","Oasis, the Beatles, the Beach Boys, my NaNoWriMo iTunes playlist, and classical","Travel, Spain, Spanish, Starbucks coffee, knitting, video games, and of course, reading.",Chicagoland,teacher,,
0,,,"Passion Play, The Talisman, L'Etranger, Watership Down, Tales from Watership Down, Le th&egrave; au harem d'Archi Ahmed, The Forever War, The Obsidian Oracle, Slaughterhouse Five, Cat's Cradle, Consilience, Hocus Pocus, The Stand, Kurt Vonnegut (miss you!), Stephen King, Sean Stewart, Camus, Joe Haldeman, Jim Butcher, Walter","Rock. My CD changer died maybe 2010 summer, so no more five CD sets.","photography, art, engineering, literature, TV, movies, MUSIC(Rock), French, Italian, German, Russian, Chess","Richfield, MN",Civil (Structural) Engineer,,
0,33,,"To Kill a Mockingbird, Number the Stars, The Great Gatsby, The Screwtape Letters, The Chronicles of Narnia, Lord of the Rings, The Wimpy Kid Series, Harper Lee, Amy Tan, C.S. Lewis, Shakespeare, Jeff","Relient K, Switchfoot, SHEL, Jars of Clay, U2, Kevin Max, Flyleaf, Owl City, Deas Vail, The Rocket Summer, The Civil Wars, Imagine Dragons, Over the Rhine","Watching CNN, playing the guitar, knitting, crocheting, cooking, reading, writing",Chicago,Floor director,,
0,,,"SEP, Sarah Dessen, JAK, Nora Roberts (J.D. Robb), Janet Evanovich, Karen",Anything fast paced to boost my energy level!,"baking, reading, watching reality shows",Chicago,Writer--of course! :),,
0,33,,"Gillian Flynn, John Green, Jonathan Tropper, Tina Fey, Jim Gaffigan, plus at least 900",Jack White or complete silence,"photography, drinking, reading,","Chicago, IL","gifted teacher, now stay at home mom, aspiring published writer",,
0,,October 25,"Bridget Jones' Diary, Bridget Jones The Edge of Reason, The City & The City, Harry Potter, Invitation to the Game, The Lovely Bones, The Poisonwood Bible, Ready Player One, Sloppy Firsts, Sophie's World, Tomorrow When the War",Natalie Imbruglia,"Acting, Karaoke, Mythology, Names, Reading, Shakespeare, Theatre","Los Angeles, CA",Actor,,
0,,,"Adriana Lamboy, Kelly Irvin, Susan Lohrer, Peg Brantley, Jennifer St. Giles, Sherrilyn Kenyon, Linda Windsor, Karen Kingsbury, Patricia Briggs, Cassandra Clare, Stephanie",Anything really.,"Reading, writing, and photography.",Georgia-USA,,,
0,,,The Sparrow/Children of God; Bend Sinister; Their Eyes Were Watching God; Jonathan Strange & Mr. Norrell; The Last Unicorn; Things Fall Apart; The Bluest Eye; The Brother's,I am learning to write in silence.,"baking bread, making obnoxiously loud hiccups, snarfling health food, biking, guzzling beer or whisky",Chicago,I work for a nonprofit and recently have been mistreating myself by over-working,,
0,,,"H.G. Wells, Jules Verne, E.E. ""Doc"" Smith, Cornell Woolrich, Kenneth Fearing, James M. Cain, Dorothy L.","jazz, especially Miles Davis and John Coltrane","art, poetry, singing, blogging, travel",Midwest,teacher,,
0,20,,"John Green, Veronica Roth, Rainbow","AJ Rafael, American Authors, Birdy","reading, writing, fangirling, guitar-playing, video-editing",Canada,"college student, aspiring writer",,
0,,,"Emerson, Hemingway, King, Gibran,","Smooth Jazz, Classic Rock","Painting, photography",,"Spiritual Author, Poet, Essayist, Freelance Writer",,
0,,,"Umberto Eco, William Faulkner, Jorge Luis Borges, Hilary Mantel, Thomas Carlyle, Phillip K. Dick, Cormac McCarthy, Thomas Pynchon, Herman Melville, Yukito Kishiro, Allen Ginsberg, Takayuki Yamaguchi, Alexandre Dumas, Hirohiko Araki, Virginia",Mostly classical/soundtracks. Sometimes other stuff gets me in a weird transcendental place and I attempt to compose a screenplay of Gravity's Rainbow set entirely to King Crimson that doesn't actually resemble anything sense-making. Maybe it's better if I never publish...,"Writing (I guess this one was pretty obvious), diving, swimming, hiking, cooking, classy drinking, action, adventure, weaboo/nerd junk.","Chicago, IL","Data Panda, (Incompetent) Code Monkey, Ideas Guy",,
0,,,"Diana Gabaldon, John Irving, Mary Stewart, David Sedaris, Brandon Sanderson, George RR Martin, too many to","Pixies, Foo Fighters, Rufus Wainwright, Old 97s, The Avett Brothers","Live Music, Reading, Writing, Theater, Movies, TV, Friends, Board Games","Chicago, IL",Unemployed Legal Project Manager *sigh*,,
0,,,"Harry Potter, Twilight, Little Women, Orson Scott Card, J.K. Rowling, J.R.R Tolkien, Lucy Maud Montgomery, Meg Cabot, Louisa May",,"writting, reading, knitting",Chicago,Teacher,,
0,,,,Cafe noise,"Video games, writing, reading","Chicago, Illinois",,,
0,,,,,,Chicago,,,
0,,,"GRRM, Neil Gaiman, Patrick Rothfuss, Guy Gavriel Kay, Robert Jordan, Stephen King, Ernest",Muse,"Guitar, Piano, Golf, Book Collecting (1st/1st's), Fantasy Football","Glendale Heights, IL",Not the one I want to be in.,,
0,,,"Stephen King, Cormac McCarthy, Neil Gaiman, Ronald Dahl, Terry",,,Chicago,,,
0,,,"Patrick Rothfuss, Rick Riordan, James Dashner, David Eddings, Brandon Sanderson, Stephen Lawhead, Sarah Zettel, Kristin Higgins, Holly Lisle, Karen Marie Moning, Sir Arthur Conan Doyle,",,"ancient history, dead languages, freelance writing, sci-fi tv shows, world dance, gaming, adding new pets to the family :D","Brantford, Ontario",,Municipal Liaison,
0,,,"George Orwell, Henry Miller, Bill Bryson, Nick Hornby, Milan Kundera, Kurt Vonnegut, Dan Brown, Douglas","Mashups, Covers, Brit Rock, Singer/Songwriters","Travel, movies (especially documentaries), photography, politics, sociology, soccer","College Park, MD",Marketing,,
0,,,,,,"Chicago, IL",,,
0,,,"Neil Gaiman, Neal Stephenson, A.S. Byatt, Jane",Cinemix and movie scores,,Chicago,Web editor,,
0,,,"Passion Play, The Talisman, L'Etranger, Watership Down, Tales from Watership Down, Le th&egrave; au harem d'Archi Ahmed, The Forever War, The Obsidian Oracle, Slaughterhouse Five, Cat's Cradle, Consilience, Hocus Pocus, The Stand, Kurt Vonnegut (miss you!), Stephen King, Sean Stewart, Camus, Joe Haldeman, Jim Butcher, Walter","Rock. My CD changer died maybe 2010 summer, so no more five CD sets.","photography, art, engineering, literature, TV, movies, MUSIC(Rock), French, Italian, German, Russian, Chess","Richfield, MN",Civil (Structural) Engineer,,
0,26,,,none yet,"Ukulele, bicycling",Chicago,,,
0,18,,"JRR Tolkien, JK Rowling, Robert","Anything epic, Two Steps from Hell, Metallica, Blind Guardian, Fall Out Boy, My Chemical Romance","Knitting, Watching Movies, Hanging out with my friends, Drinking lots and lots of tea",The Stratosphere,Broke college student,,
0,,,"Nineteen Eighty-Four, Neverwhere, Neuromancer, The Chronicles of Amber, Neil Gaiman, William Gibson, Roger",For this story The Sword,,"Chicago, Il",,,
0,33,November 8,"J.K. Rowling, Timothy Zahn, Eoin Colfer, Shakespeare, Robert",Movie scores,"AOL chat-based rpgs, reading, writing, Sims2, sewing","Chicago, IL",Retail ( =P ),,
0,22,,"Robyn Schneider, Sarah Dessen, Cassandra Clare, John Green, Zoe",Any of the coffee shop playlists on Spotify,"Going to shows, drinking coffee, taking photos and writing","Chicago, IL",Marketing & Events Coordinator,,
0,,,,,,,,,
0,,,,"Kreng, Ólafur Arnalds",co-host of NaNoWriPod,"Chicago, IL",,,
0,31,,Sherman,Jazz,"Writing, reading, traveling, dreaming...","Chicago, IL",Reading Interventionist,,
0,,,"Johnathan Strange & Mr. Norrell, Lillith, American Gods, Cat's Cradle, Myst Series, The Name of the Wind Series, Dresden Files, House of Leaves, Philip K Dick, On The Road...the list goes on..., Neil Gaiman, Jack Kerouac, Jim Butcher, Neal Stephenson, H.P. Lovecraft, Kurt Vonnegut, Chuck Palahniuk, and more","Blade Runner Blues - Vangelis, Kreng, God Is An Astronaut, Keren Ann (or similar music in languages I do not understand.) , A Winged Victory for the Sullen, Wolf Eyes, or coffee house/natural city sounds","Reading, Music, Techie stuff and general geekery, Hanging out with friends, Sharing a good conversation with friends and/or strangers.","Chicago, IL",,,
0,,March 1,"Right now, I'm ENTRANCED with Patrick Rothfuss' Name of the",Marilyn Manson,"Reading, crochet, BBC television","Chicago, IL",Teacher,,
0,,,Too,quiet,"Cooking, spending time with my family, listening to live music, country line dancing",Western suburbs of Chicago,Veterinarian,,
0,,,"Sandra Brown, Julie James and many, many","So many playlists I've created on my own, but if I were to recommend one Pandora's Broken Bells playlist","Writing (no, really?), music, movies, art and reading",Elmhurst IL,Writer (own it!)...Day job Executive Admin at Allstate Insurance,,
0,,,"Melanie Rawn, Jacqueline Carey, Scott Lynch, Anne Bishop, Neil Gaiman, Kristin","Anything! Most often video game soundtracks, though.","Video games, tabletop roleplaying, reading, sewing, cooking, history, religion, Final Fantasy",Chicago,Keyboard-Wielding IT Monkey,,
0,26,,"J.K. Rowling, Nora Roberts, Suzanne","Disney stuff, brian mcknight, rock, michael jackson","Crocheting, drawing, writing, reading",Illinois,Personal Support Worker,,
0,,,"A Moveable Feast, She's Come Undone, Love in the Time of Cholera, The Great Gatsby, Fitzgerald, Hemingway, Marquez, and my modern day hero, Wally","Movie Scores (especially those by John Williams), french jazzy house music","SCUBA diving, being a vegan superhero, Pinterest (is that a hobby??), creating sweet mix tapes, reading and writing and 'rithmetic...","Chicago, IL",Writer (Grant Writer by day/Novelist by night... and the weekends),,http://www.classy.org/megwrites
0,41,,"Pillars of the Earth, The Kite Runner, Dune, James Rollins, Frank Herbert, George R.R. Martin, The Book",Holst,"Fly Fishing, Model Kit Building, Movies",Evanston,Computer Nerd,,
0,,,"First and foremost The Holy Qur'an - can't live without it! I've read countless books and the only books that struck a chord with me are the following (in alphabetical order) Abhorsen Trilogy, Acorna Series, Anahita’s Woven Riddle, Cinder (Lunar Chronicles), Darkangel Trilogy, Dragon Slippers, Ella Enchanted, Gamer Girl, Green Rider Series, Incarceron & Sapphique, Jahanara, Jewel Kingdom Series, Of Two Minds, Shabanu, Shadow Spinner, Seer and the Sword, Star of the Morning Trilogy, The Butterfly Mosque (Autobio), The",Noveling music???,"Reading, Writing, Drawing, Knitting, Crocheting, Crafting, Gaming",NYC,College Student,,
0,,October 14,"joseph finder, harlan coben, stephen king, toni",anything soft and light,"blogging, writing, reading, and watching movies!",Chicago,freelance writer and data analyst,,https://www.classy.org/fundraise?fcid=217075
0,25,February 2,"Terry Goodkind, Stephen King, Brent Weeks, Patrick",Avenged sevenfold,"Reading, chess, disc golf, yelling at the sun for being to bright at a certin moment.",bourbonnais il,Steel fabricator,,
0,41,November 14,"Harlan Ellison, Kurt Vonnegut, Robert Anton","Honestly, once I get in the flow I stop hearing and don't even notice the album stopped.","Anything creative, from writing to drawing to animation to electrics to music to you name it. I'm a creative polymath",Chicago - Rogers Park,Multimedia Designer,,
0,,,"Slaughterhouse 5, Watership Down, The Ground Beneath her Feet, A Thousand Splendid Suns, A Prayer for Owen Meany, Vonnegut, Rushdie, John Irving, Stuar","The Beatles, Complete and Total Silence, Wilco, the music of my children sleeping queitly","Playing guitar in Missing Ted, my wife and three children, the Cubs and Blackhawks","Chicago, IL",,,
0,,,"LoTR, The Hobbit, Dragonriders of Pern series, Darkover Novels, Wraeththu, Pride & Prejudice, The Books of Amber, Harry Potter, Anne of Green Gables series... and on, and on, and on, MacCaffrey, Bradley, Zelazney, Mercedes Lackey, Storm Constantine, L.M. Montgomery, etc.,","soundtracks! dark mysterious, world, celtic, soundtracks, funk, ambient sexy beats","Traveling all over the world, Nia/Dancing, Triathlon,cooking, Yoga, leather, bdsm","Austin, Tx","Travel Advisor, Virtuoso Affiliate",Municipal Liaison,
0,43,,"Starship Troopers, Gates of Fire, The Stars My Destination, Heinlein, Alfred Bester,",Movie & Anime Soundtracks,"law, copyright, anime","Austin, TX",Project Manager,,
0,,May 19,All of,Anything loud and fast,reading,"Austin, TX",Writer,,
0,,,"Speaker for the Dead,","Yasunori Mitsuda, Jonathan Coulton, Nobuo Uematsu, Janelle Monae","Video games, reading, writing","Cedar Park, TX",Software Engineer,,
0,,,"The Lord of the Rings, Harry Potter The Chronicles of Narnia, Tolkien, Rowling,","New World Symphony, http://8tracks.com/malfoymannor/epic-songs-to-write-to , http://8tracks.com/bringitdownalive/pirates-avengers-and-wizards-oh-my , http://8tracks.com/elbeck/everyday-i-m-studyin","music, teaching, teaching music, video games, computer games","Pflugerville, TX",,,
0,,,"J.K. Rowling, Maria V. Snyder, Richelle Mead, Julia Quinn, Mary Balogh, Eloisa",Piano or movie soundtracks,"Argentine tango, singing, piano, knitting, mixed-media art",Nebraska,Novelist and Freelance Fiction Editor,,
0,,,"Ilona Andrews, CJ Cherryh, Kelley","Muse, Awolnation","Reading, Gardening, Sewing, Home improvement, TV, Writing, oh, yeah. Reading.","Austin, TX",Bookkeeper,,
0,,,"Greg Lawson, Stephen King, James Patterson, Dean Koontz, Janet Evanovich, and the Gothic and imaginative Edgar Allen",I enjoy all genres of music. My mood dictates what is playing when I write.,"Photography is my love. In addition I enjoy reading, creative writing, time with friends, cooking, music, horseback riding, dancing, and Texas A & M Aggie Football.",Texas,I get paid to tell men where to go.,,
0,,,"Harry Potter series; The Caine Mutiny; To Kill a Mockingbird; The Lion, the Witch, and the Wardrobe; Many",Radio Dismuke (music from the 1920s and 1930s),"Making music, Taekwondo, and appeasing the little creativity monster that lives inside of me","Austin, Texas",Broke College Kid,,
0,,,"Harry Potter, Uglies, The Hunger Games, the Shades of London","Halsey, Taylor Swift, Fall Out Boy, Metric, Lana Del Rey, The Pretty Reckless, CHRVCHES, The Neighbourhood, Lykke Li","Drawing, music, video games",Texas,Student,,
0,,,"Just Listen (Sarah Dessen), Harry Potter series, Amy and Roger's Epic Detour (Morgan Matson), Drums Girls and Dangerous Pie (Jordan Sonnenblick), Charles",depends on the scene I need to write,"WRITING, reading, Netflix, journaling, watching Supernatural","San Marcos, TX",Student,,
0,,,"Dean Koontz, Beatrice Small, Ernest","anything, nothing, not sure yet","Beading, jewelry making, cooking, I read everything I can","Kyle, Texas","Artist, but soon to add novelist",,
0,33,,,"Brooke Fraser, Bon Iver",Creating,Austin,Graphic,,
0,,,"Bertrice Small, Faith Hunter, JRR Tolkien, Anne McCaffrey and on and on and",Silence,"Zentangle, writing, avoiding exercise",Texas,Author,,
0,,,This question is,Dong Bang Shin Ki / Classical,Writing and Photography,Texas,Freelance Photographer / Student,,
0,,,"West of January, The Thousand Names, anything by Michael","Ave Maria. I'm not even religious, it just seems to help.","Reading, Writing, Gaming, Dreaming","Austin, Texas",Writer XD,,
0,20,August 3,"Looking for Alaska, World War Z, Les Miserables, Sherlock","Whatever puts me in the mood at the time, man","Writing, reading, singing (in the shower), doodling, Improv",Over the Rainbow,Broke Comedian/Massage Therapist,,
0,,,"Too many to list. , Irving Stone & Janet Evanovich to",Shuffle on my iPod,"Computers, gaming",Houston Texas,,,
0,,,"Winter's Tale, The Ground Beneath Her Feet, House of Leaves, Thursday Next, The Goneaway World, The Long Dark Tea-Time of the Soul, Neverwhere, Gifts, Housekeeping, Jonathan Strange & Mr.",Movie soundtracks,"Reading, writing, watching movies","Austin, TX",Musician,,
0,21,August 20,"Terry Goodkind, Erin Hunter, Robert Jordan, etc. If it's fantasy/sci-fi, and of a decent length, chances are I'll like","Either my whole library on shuffle, liberally apply the skip button, or a single song played on repeat.","Writing (because you really needed me to tell you that), drawing, and singing.","Oak View, California!",Floor Sales.,Municipal Liaison,
0,23,May 14,"J R R Tolkien, C S Lewis, Brian Jacques, Terry Pratchett, Terry Brooks, J K Rowling, Cinda Williams Chima, Garth Nix, Susan Collins, Cassandra Claire, and Richelle","Nightwish, Amaranthe, Within Temptation, The Letter Black, Incubus, Edenbridge, Blind Guardian, Arven, After Forever, and ReVamp","Writing, Reading, computer art (bad computer art), singing, and fencing","Alpine, Texas",Actor/driver,,
0,,,"Nueromancer, Interpreter of Maladies, Passage to India, jaqueline carey, laurell k hamilton, jhumpa lahiri, arundhati roy, chuck","saul williams, fast paced fischerspooner and MIA","slam, poetry, tarot, nihongo, music, anime","austin,tx",pro tarot reader. facilitator. relationship coach.,,
0,,June 28,too many to,depends on the character and scene,"Reading, blogging, role-playing, brewing beer, SCA, costuming and other crafts","Austin, TX",contact representative,,
0,,,"Elena Ferrante, Roberto Bolano, Vriginia Woolf, Thomas Pynchon, Sarah Waters, Octavia",Grimes,,"Austin, TX",,,
0,,,,,,"Austin, Texas",,,
0,,,"Sunshine, Discworld, Mystique Trilogy, Artemis Fowl series, In the Name of the Wind, Gentleman Bastard Sequence, Landscapes of Ephemera, SAS Survival Guide, Codex Alera, The Dresden Files, Mistborn Trilogy, Old Kingdom Trilogy, Quantum Gravity, The Rai-Kirah Trilogy, Eoin Colfer, Terry Pratchett, Robin McKinley, Isobelle Carmody, Kylie Chan, Garth Nix, Brandon Sanderson, Carol Berg, Devon Monk, Jennifer","The Black Keys, Mercenary, Disturbed, Rise Against, Linkin Park, Fall Out Boy, Avenged Sevenfold, Foo Fighters, Pearl Jam, Yellowcard","Wicked Writing, Ravenous Reading, Gallant Gaming, General Procrastination, Consuming Caffeine","White Rock, QLD, Australia",Student/retail assistant,Municipal Liaison,
0,36,October 8,,Classical,"Reading, singing, dancing, cuddling with my dog spending time with friends and family.","Austin, TX",,,
0,,,"Dracula, Lord of the Flies,",,"writing, learning languages, performing in Rocky Horror, reading","Austin, TX",,,
0,,,"Malinda Lo, Scott Westerfeld, Jonathan Stroud, E. Lockhart, Justine",soundtracks,"tweeting, flying trapeze, ice cream","Austin, TX",information designer,,
0,,,"Elizabeth Peters, Stephen King, Jane",Movie soundtracks,"Knitting, playing games and daydreaming","Austin, TX",Customer Love Representative,,
